Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Cleveland Cavaliers,57,240.0,45.1,90.6,.498,16.1,41.2,.391,29.0,49.4,.587,16.6,21.2,.783,10.8,34.4,45.2,29.1,8.4,4.4,13.2,18.6,122.9
2,Memphis Grizzlies,57,240.0,45.0,93.3,.482,13.9,37.5,.372,31.1,55.9,.557,18.8,24.5,.769,13.3,34.4,47.7,28.9,9.0,6.0,16.5,21.3,122.8
3,Denver Nuggets,57,241.8,45.7,90.0,.508,12.0,31.6,.381,33.6,58.4,.576,17.9,23.1,.776,11.3,34.6,45.9,31.2,8.2,4.7,14.3,17.5,121.3
4,Oklahoma City Thunder,56,240.0,44.0,92.4,.476,14.1,38.8,.363,29.9,53.7,.558,16.2,19.6,.823,11.0,33.6,44.5,26.5,10.9,5.7,12.0,20.4,118.3
5,New York Knicks,57,241.8,44.0,89.3,.493,12.8,34.1,.374,31.2,55.2,.566,17.1,21.2,.805,10.8,32.2,42.9,27.5,7.9,3.8,13.1,16.9,117.9
6,Boston Celtics,57,242.2,41.7,90.5,.461,17.8,48.3,.369,23.9,42.1,.567,16.1,20.2,.797,10.8,34.4,45.3,26.0,7.2,5.7,11.8,16.3,117.4
7,Atlanta Hawks,57,241.8,42.6,92.1,.462,13.1,37.5,.350,29.4,54.5,.539,18.8,24.4,.769,11.9,33.1,45.0,29.3,10.0,5.2,15.8,18.9,117.0
8,Sacramento Kings,56,243.1,43.3,91.2,.474,12.4,35.8,.345,30.9,55.3,.558,17.8,22.0,.806,11.1,33.8,44.9,26.9,7.8,4.6,13.5,19.2,116.6
9,Indiana Pacers,55,241.4,43.4,88.7,.489,12.7,34.4,.367,30.7,54.3,.566,17.0,21.6,.787,9.1,32.5,41.6,28.9,8.5,5.3,13.3,19.2,116.5
10,Chicago Bulls,57,240.9,42.4,91.9,.462,15.9,43.2,.368,26.5,48.7,.545,15.1,18.9,.802,9.8,35.5,45.3,28.7,7.5,4.8,14.9,17.8,115.9
11,Dallas Mavericks,58,240.9,42.2,88.2,.478,13.1,35.3,.372,29.0,52.9,.549,17.9,23.3,.772,10.9,33.4,44.3,25.3,7.9,5.9,14.2,18.7,115.4
12,Detroit Pistons,57,241.8,42.5,90.0,.472,13.1,36.1,.363,29.4,53.8,.546,16.3,20.8,.784,11.5,33.8,45.3,26.3,7.8,5.0,15.5,20.3,114.4
13,Milwaukee Bucks,56,240.4,41.8,87.0,.480,14.4,37.4,.385,27.4,49.6,.552,16.3,22.0,.741,8.5,35.4,43.9,25.2,7.2,4.9,13.7,18.7,114.2
14,Phoenix Suns,57,241.8,40.7,85.8,.474,13.9,37.4,.373,26.8,48.4,.553,17.9,22.2,.805,9.1,33.3,42.4,27.4,7.5,5.1,14.0,18.1,113.2
15,Los Angeles Lakers,55,240.5,41.3,85.5,.482,12.4,34.6,.357,28.9,50.9,.568,18.2,23.0,.793,9.3,32.9,42.1,26.7,7.7,4.8,13.8,16.7,113.1
16,Houston Rockets,57,241.3,41.6,93.2,.447,12.2,35.5,.343,29.5,57.7,.511,17.5,23.4,.747,14.5,33.4,47.9,22.8,8.7,5.1,13.8,19.8,112.9
17,San Antonio Spurs,55,240.9,41.1,89.5,.460,13.8,39.5,.349,27.3,49.9,.547,16.7,21.4,.783,10.9,33.8,44.7,28.9,8.1,6.5,14.1,16.5,112.7
18,Golden State Warriors,57,240.4,41.0,91.8,.446,15.3,42.5,.360,25.7,49.3,.521,15.3,20.8,.737,12.8,33.2,45.9,28.9,8.9,5.0,13.8,19.5,112.5
19,Utah Jazz,56,241.8,40.3,87.7,.459,13.9,39.2,.354,26.4,48.4,.544,18.0,23.0,.782,12.3,33.4,45.7,25.6,6.7,4.8,17.4,19.3,112.4
20,Minnesota Timberwolves,58,240.9,39.9,86.8,.460,14.8,39.4,.376,25.1,47.4,.529,17.1,21.5,.796,11.2,33.0,44.2,25.2,7.8,5.0,15.0,18.0,111.8
21,Los Angeles Clippers,56,241.3,40.8,86.6,.471,12.2,33.9,.359,28.6,52.7,.543,17.3,21.6,.797,10.6,33.4,44.0,24.7,9.8,4.5,15.8,18.5,110.9
22,Toronto Raptors,57,241.8,41.7,89.5,.466,11.7,33.0,.354,30.0,56.5,.531,15.9,21.2,.747,11.7,32.2,43.9,28.6,7.8,4.5,15.5,21.6,110.9
23,New Orleans Pelicans,57,241.3,40.4,90.4,.447,12.3,35.2,.349,28.2,55.2,.510,17.4,22.7,.766,12.0,31.4,43.4,25.3,9.1,5.5,14.3,18.3,110.5
24,Miami Heat,55,243.6,39.7,87.1,.455,13.9,38.7,.359,25.8,48.5,.532,16.9,21.4,.790,9.7,34.4,44.1,26.1,7.9,3.8,13.6,16.0,110.1
25,Portland Trail Blazers,57,240.4,40.1,88.7,.453,12.5,35.9,.347,27.7,52.7,.525,16.9,21.9,.772,12.4,31.3,43.6,23.6,8.1,5.6,16.0,19.5,109.6
26,Philadelphia 76ers,56,241.8,39.2,86.1,.455,12.6,36.4,.345,26.6,49.7,.535,18.0,22.8,.790,9.9,29.2,39.2,23.0,9.3,4.1,13.4,19.6,108.9
27,Washington Wizards,56,240.9,39.6,90.3,.438,12.9,38.8,.333,26.7,51.5,.518,16.0,20.7,.775,10.7,33.3,43.9,25.1,7.5,5.0,16.0,20.4,108.1
28,Charlotte Hornets,55,241.4,38.3,89.8,.427,13.5,39.5,.343,24.8,50.3,.493,15.8,20.2,.781,12.6,32.9,45.5,23.8,8.1,4.6,15.3,19.4,106.0
29,Brooklyn Nets,56,241.3,37.6,85.3,.441,13.2,38.1,.346,24.4,47.2,.518,16.4,20.8,.792,10.6,30.5,41.1,24.7,7.6,4.4,15.4,20.4,104.9
30,Orlando Magic,59,240.8,37.8,85.9,.440,10.9,35.8,.305,26.8,50.1,.536,17.8,23.4,.762,11.4,30.7,42.1,23.0,9.0,6.2,14.6,20.5,104.3
,League Average,57,241.3,41.5,89.2,.465,13.4,37.5,.359,28.0,51.7,.543,17.0,21.8,.780,11.1,33.1,44.2,26.4,8.3,5.0,14.5,18.9,113.4